"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Bitter Triumph","B","U","14137","2.58","4622","2.95","4551","99.0%","55.2%","751","51.8%","1206","61.0%","1957","57.5%","2587","53.5%","4.0pp"
"Stalactite Stalker","B","R","3139","1.91","1438","1.89","1274","98.8%","53.5%","242","","296","","538","57.4%","732","50.5%","6.9pp"
"Join the Dead","B","C","44708","3.17","11930","3.82","12587","99.1%","53.7%","2149","53.9%","3187","59.6%","5336","57.3%","7218","50.9%","6.4pp"
"Jadelight Spelunker","G","R","2838","1.75","1461","1.69","1397","100.0%","54.6%","248","","351","","599","57.3%","786","52.3%","5.0pp"
"Starving Revenant","B","R","2970","1.78","1519","1.76","1417","99.6%","54.5%","238","","385","","623","57.0%","787","52.7%","4.3pp"
"Scampering Surveyor","","U","19626","3.34","5869","4.11","1989","89.2%","53.7%","333","","479","","812","56.9%","1166","51.5%","5.4pp"
"Earthshaker Dreadmaw","G","U","17299","3.23","3700","3.84","2858","88.3%","52.9%","446","","731","60.2%","1177","56.8%","1662","49.8%","6.9pp"
"Poison Dart Frog","G","C","56780","3.99","10276","5.11","10883","96.9%","53.9%","1977","58.9%","2508","54.9%","4485","56.7%","6350","52.0%","4.7pp"
"Pathfinding Axejaw","G","C","62688","4.41","10177","5.87","8946","93.7%","54.4%","1454","58.4%","2246","55.4%","3700","56.6%","5163","52.8%","3.8pp"
"Another Chance","B","C","84921","6.85","11257","9.57","8029","72.9%","54.0%","1315","51.9%","2079","59.2%","3394","56.4%","4619","52.2%","4.1pp"
"Deathcap Marionette","B","C","74771","5.54","11313","7.55","12588","92.0%","54.3%","2252","55.9%","2971","56.3%","5223","56.1%","7277","52.9%","3.3pp"
"Terror Tide","B","R","3387","2.02","1399","1.96","1375","96.6%","54.0%","245","","337","","582","56.0%","790","52.3%","3.7pp"
"Cenote Scout","G","U","21613","3.87","4594","4.82","4142","94.1%","54.6%","813","57.3%","942","54.9%","1755","56.0%","2355","53.5%","2.5pp"
"Tendril of the Mycotyrant","G","U","23818","4.44","4260","5.61","4579","92.5%","55.1%","790","56.5%","1124","55.3%","1914","55.8%","2631","54.6%","1.2pp"
"Colossadactyl","G","U","17227","3.08","3826","3.77","3826","98.2%","53.6%","641","54.8%","917","56.5%","1558","55.8%","2243","52.0%","3.7pp"
"Hidden Necropolis","","B","73164","6.13","10111","8.65","9477","97.7%","53.6%","1651","57.5%","2375","54.5%","4026","55.7%","5382","51.9%","3.9pp"
"Mineshaft Spider","G","C","88130","7.49","8741","10.96","7321","66.0%","54.0%","1196","56.2%","1791","55.3%","2987","55.6%","4290","52.8%","2.9pp"
"Visage of Dread","B","U","27821","4.14","5722","5.30","4492","89.1%","53.9%","764","57.2%","1124","54.4%","1888","55.6%","2602","52.7%","2.9pp"
"Primordial Gnawer","B","C","88475","7.55","9451","11.01","2996","36.4%","53.5%","480","","768","56.0%","1248","55.5%","1724","51.9%","3.7pp"
"Captivating Cave","","B","72074","5.76","9793","8.31","3318","79.7%","52.8%","609","51.6%","863","58.3%","1472","55.5%","1817","50.4%","5.1pp"
