"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Waterlogged Hulk","U","U","40679","7.28","6186","9.99","1693","20.2%","57.0%","320","","396","","716","55.6%","948","58.0%","-2.4pp"
"Out of Air","U","C","90128","8.07","12556","11.23","5357","25.4%","54.2%","867","52.9%","1383","57.2%","2250","55.6%","3077","53.2%","2.4pp"
"Oltec Archaeologists","W","C","87844","7.32","11392","10.44","8650","41.2%","56.2%","1363","52.4%","2204","57.4%","3567","55.5%","5035","56.7%","-1.2pp"
"Council of Echoes","U","U","25603","4.85","5331","6.14","5772","66.3%","56.7%","899","53.7%","1473","56.6%","2372","55.5%","3356","57.2%","-1.7pp"
"Sinuous Benthisaur","U","U","33094","6.83","4766","9.33","1265","23.5%","53.9%","206","","340","","546","55.3%","700","52.6%","2.7pp"
"Didact Echo","U","C","89226","7.61","12481","10.70","5608","29.9%","54.7%","863","51.7%","1480","57.0%","2343","55.0%","3227","54.5%","0.5pp"
"Pirate Hat","U","C","91004","8.43","14332","11.31","5137","23.7%","57.7%","823","54.7%","1239","55.1%","2062","54.9%","2999","59.3%","-4.4pp"
"Digsite Conservator","","U","27149","4.49","5802","6.10","4258","70.2%","56.3%","734","51.4%","999","57.6%","1733","54.9%","2457","56.8%","-1.8pp"
"Relic's Roar","U","C","94182","9.30","12489","12.69","1736","8.9%","56.9%","277","","398","","675","54.8%","1059","58.4%","-3.5pp"
"Glorifier of Suffering","W","C","76004","5.75","12409","7.92","11550","59.2%","56.6%","1871","53.4%","2849","55.6%","4720","54.7%","6778","57.8%","-3.1pp"
"Compass Gnome","","C","84049","6.11","12669","8.72","5956","45.5%","55.6%","1035","54.0%","1343","55.2%","2378","54.7%","3505","56.1%","-1.4pp"
"Treasure Map","","R","2679","1.66","1645","1.63","1368","90.5%","57.0%","250","","333","","583","54.5%","760","58.7%","-4.1pp"
"Ancestral Reminiscence","U","C","92248","8.48","11962","11.86","3343","18.0%","55.1%","568","54.4%","855","54.6%","1423","54.5%","1902","55.4%","-0.8pp"
"Mischievous Pup","W","U","25336","4.62","5830","5.81","8957","84.4%","55.9%","1562","51.1%","2185","57.0%","3747","54.5%","5165","56.9%","-2.4pp"
"Get Lost","W","R","4052","2.45","1113","2.60","1477","84.4%","56.5%","237","","380","","617","54.5%","849","57.8%","-3.4pp"
"Promising Vein","","B","73799","6.01","9748","8.64","4083","54.0%","55.2%","739","53.6%","1067","54.3%","1806","54.0%","2257","56.4%","-2.4pp"
